id,birth_year,gender,category,weight,height,pro_agility_l,pro_agility_r,broad_jump,vertical_jump,dash_10yd,shuttle_100yd,shuttle_150yd,shuttle_300yd,flexed_arm_hang,pull_ups,ue_watt,le_watt,age,demo_edu,demo_income,demo_fin_support,demo_sports_access,demo_years_org_sport,demo_race_asian,demo_race_black,demo_race_hispanic,demo_race_native,demo_race_pacific,demo_race_white,mtq_score,grt_score,res_score,se_score,sms_core,twc_score,hst_age_first_league,hst_age_regular_hky,hst_age_supervised,hst_age_main_sport,hst_practice_hrs_band,hst_game_hrs_band,hst_hky_8plus_months,hst_multi_sport_level,hst_effort,hst_focus,hst_enjoyment,hst_camps_freq,hst_relocated,hst_injury_count_12_16,hst_days_missed_2y,hst_comp_level,hst_age_first_at_level,cog_focus_score,sleep_hrs_band,nut_balanced_meals,nut_score,nut_limiting_factors,nut_energy_mornings,cog_decision_intelligence_score,cog_pregame_anxiety,cop_breathing_exercises,cop_self_talk,cop_visualization,cop_talking_to_teammate,cop_other,coach_score,weight_abs_impr,weight_rel_impr_pct,weight_impr_per_year,height_abs_impr,height_rel_impr_pct,height_impr_per_year,pro_agility_l_abs_impr,pro_agility_l_rel_impr_pct,pro_agility_l_impr_per_year,pro_agility_r_abs_impr,pro_agility_r_rel_impr_pct,pro_agility_r_impr_per_year,broad_jump_abs_impr,broad_jump_rel_impr_pct,broad_jump_impr_per_year,vertical_jump_abs_impr,vertical_jump_rel_impr_pct,vertical_jump_impr_per_year,dash_10yd_abs_impr,dash_10yd_rel_impr_pct,dash_10yd_impr_per_year,shuttle_100yd_abs_impr,shuttle_100yd_rel_impr_pct,shuttle_100yd_impr_per_year,shuttle_150yd_abs_impr,shuttle_150yd_rel_impr_pct,shuttle_150yd_impr_per_year,shuttle_300yd_abs_impr,shuttle_300yd_rel_impr_pct,shuttle_300yd_impr_per_year,flexed_arm_hang_abs_impr,flexed_arm_hang_rel_impr_pct,flexed_arm_hang_impr_per_year,pull_ups_abs_impr,pull_ups_rel_impr_pct,pull_ups_impr_per_year,ue_watt_abs_impr,ue_watt_rel_impr_pct,ue_watt_impr_per_year,le_watt_abs_impr,le_watt_rel_impr_pct,le_watt_impr_per_year,category_progression,num_tests,ever_promoted_between_tests,target_pro_success
Athlete 13,2002,0,7,,,5.08,5.09,73.50,,,20.67,,,16.00,,,,23,4,5,0,5,5,0,0,0,0,0,1,38,31,44,26,99,21,8,8,8,8,3,3,1,0,4,4,4,3,0,,,,,7,2,0,12,1,3,14,3,1,1,1,0,0,8,0.00,0.00%,0.00,0.00,0.00%,0.00,0.00,0.00%,0.00,0.00,0.00%,0.00,0.00,0.00%,0.00,0.00,0.00%,0.00,0.00,0.00%,0.00,0.00,0.00%,0.00,0.00,0.00%,0.00,0.00,0.00%,0.00,0.00,0.00%,0.00,0.00,0.00%,0.00,0.00,0.00%,0.00,0.00,0.00%,0.00,0,1,0,1
Athlete 38,2003,0,6,,,5.10,5.13,74.00,,1.95,,35,,8.00,,,,22,4,5,0,5,5,0,0,0,0,0,1,44,22,48,30,72,24,8,8,5,10,5,4,1,0,5,4,5,3,0,,,,,9,2,1,12,0,4,11,4,0,1,1,0,0,10,0.00,0.00%,0.00,0.00,0.00%,0.00,0.55,12.09%,0.55,0.59,13.00%,0.59,10.00,13.51%,10.00,0.00,0.00%,0.00,0.14,7.73%,0.14,0.00,0.00%,0.00,2.33,7.13%,2.33,0.00,0.00%,0.00,10.00,125.00%,10.00,0.00,0.00%,0.00,0.00,0.00%,0.00,0.00,0.00%,0.00,1,2,1,1
Athlete 38,2003,0,7,138.2,64,4.55,4.54,84,22.5,1.81,,32.67,,18,,,,22,4,5,0,5,5,0,0,0,0,0,1,44,22,48,30,72,24,8,8,5,10,5,4,1,0,5,4,5,3,0,,,,,9,2,1,12,0,4,11,4,0,1,1,0,0,10,0.00,0.00%,0.00,0.00,0.00%,0.00,0.55,12.09%,0.55,0.59,13.00%,0.59,10.00,13.51%,10.00,0.00,0.00%,0.00,0.14,7.73%,0.14,0.00,0.00%,0.00,2.33,7.13%,2.33,0.00,0.00%,0.00,10.00,125.00%,10.00,0.00,0.00%,0.00,0.00,0.00%,0.00,0.00,0.00%,0.00,1,2,1,1
Athlete 50,2003,1,7,,,,,,,,,,58.00,,11,,,22,5,5,0,4,5,0,0,0,0,0,1,44,28,39,25,83,14,10,13,13,15,3,3,1,0,4,4,4,3,0,,,,,9,2,1,12,1,3,11,2,0,0,1,1,0,6,0.00,0.00%,0.00,0.00,0.00%,0.00,0.00,0.00%,0.00,0.00,0.00%,0.00,0.00,0.00%,0.00,0.00,0.00%,0.00,0.00,0.00%,0.00,0.00,0.00%,0.00,0.00,0.00%,0.00,0.00,0.00%,0.00,0.00,0.00%,0.00,0.00,0.00%,0.00,0.00,0.00%,0.00,0.00,0.00%,0.00,0,1,0,0
Athlete 51,2003,1,6,,63.00,4.22,4.19,110.00,32.50,1.62,,,57.00,,14,453,,22,5,5,0,4,5,0,0,0,0,0,1,44,28,39,25,83,14,10,13,13,15,3,3,1,0,4,4,4,3,0,,,,,9,2,1,12,1,3,11,2,0,0,1,1,0,6,0.00,0.00%,0.00,0.00,0.00%,0.00,0.00,0.00%,0.00,0.00,0.00%,0.00,0.00,0.00%,0.00,0.00,0.00%,0.00,0.00,0.00%,0.00,0.00,0.00%,0.00,0.00,0.00%,0.00,0.00,0.00%,0.00,0.00,0.00%,0.00,0.00,0.00%,0.00,0.00,0.00%,0.00,0.00,0.00%,0.00,0,1,0,0
Athlete 71,2003,1,6,,66.50,4.39,4.41,93.00,25.50,1.67,,30.33,,28,,,,22,4,5,0,5,5,0,0,0,0,0,1,30,30,41,26,56,18,9,12,15,11,1,1,0,0,5,5,5,3,1,,,,,7,3,1,11,0,3,10,3,0,0,1,0,0,5,22.00,13.72%,22.00,1.75,2.63%,1.75,0.19,4.52%,0.19,0.24,5.76%,0.24,3.00,3.23%,3.00,1.00,3.92%,1.00,0.07,4.29%,0.07,0.00,0.00%,0.00,0.67,2.21%,0.67,0.00,0.00%,0.00,4.00,14.29%,4.00,0.00,0.00%,0.00,0.00,0.00%,0.00,0.00,0.00%,0.00,1,3,1,0
Athlete 71,2003,1,7,160.4,67.50,4.20,4.17,96.00,26.50,1.63,,31,,32,,,,22,4,5,0,5,5,0,0,0,0,0,1,30,30,41,26,56,18,9,12,15,11,1,1,0,0,5,5,5,3,1,,,,,7,3,1,11,0,3,10,3,0,0,1,0,0,5,22.00,13.72%,22.00,1.75,2.63%,1.75,0.19,4.52%,0.19,0.24,5.76%,0.24,3.00,3.23%,3.00,1.00,3.92%,1.00,0.07,4.29%,0.07,0.00,0.00%,0.00,0.67,2.21%,0.67,0.00,0.00%,0.00,4.00,14.29%,4.00,0.00,0.00%,0.00,0.00,0.00%,0.00,0.00,0.00%,0.00,1,3,1,0
Athlete 71,2003,1,7,182.40,68.25,,,,,1.70,,,66.30,,1,251,732,22,4,5,0,5,5,0,0,0,0,0,1,30,30,41,26,56,18,9,12,15,11,1,1,0,0,5,5,5,3,1,,,,,7,3,1,11,0,3,10,3,0,0,1,0,0,5,22.00,13.72%,22.00,1.75,2.63%,1.75,0.19,4.52%,0.19,0.24,5.76%,0.24,3.00,3.23%,3.00,1.00,3.92%,1.00,0.07,4.29%,0.07,0.00,0.00%,0.00,0.67,2.21%,0.67,0.00,0.00%,0.00,4.00,14.29%,4.00,0.00,0.00%,0.00,0.00,0.00%,0.00,0.00,0.00%,0.00,1,3,1,0
Athlete 35,2003,1,6,,69.50,4.50,4.49,103.00,25.50,1.75,,,,,12,465.00,759.00,22,3,5,1,5,5,0,0,0,0,0,1,41,30,46,29,73,25,7,7,16,10,5,2,0,0,4,4,4,3,1,,,,,9,3,1,12,0,4,14,3,0,0,0,1,0,8,12.60,7.56%,12.60,2.75,3.96%,2.75,0.22,5.13%,0.22,0.27,6.40%,0.27,4.00,3.96%,4.00,1.50,5.88%,1.50,0.06,3.55%,0.06,0.00,0.00%,0.00,0.00,0.00%,0.00,0.00,0.00%,0.00,0.00,0.00%,0.00,5.00,71.43%,5.00,79.00,19.04%,79.00,160.00,22.73%,160.00,1,3,1,1
Athlete 35,2003,1,7,166.6,72.00,4.51,4.48,101.00,26.00,1.71,,,,,12,494,704,22,3,5,1,5,5,0,0,0,0,0,1,41,30,46,29,73,25,7,7,16,10,5,2,0,0,4,4,4,3,1,,,,,9,3,1,12,0,4,14,3,0,0,0,1,0,8,12.60,7.56%,12.60,2.75,3.96%,2.75,0.22,5.13%,0.22,0.27,6.40%,0.27,4.00,3.96%,4.00,1.50,5.88%,1.50,0.06,3.55%,0.06,0.00,0.00%,0.00,0.00,0.00%,0.00,0.00,0.00%,0.00,0.00,0.00%,0.00,5.00,71.43%,5.00,79.00,19.04%,79.00,160.00,22.73%,160.00,1,3,1,1
