id,birth_year,ct,gender,category,weight,height,pro_agility_l,pro_agility_r,broad_jump,vertical_jump,dash_10yd,shuttle_100yd,shuttle_150yd,shuttle_300yd,flexed_arm_hang,pull_ups,ue_watt,le_watt,age,demo_edu,demo_income,demo_fin_support,demo_sports_access,demo_years_org_sport,demo_race_asian,demo_race_black,demo_race_hispanic,demo_race_native,demo_race_pacific,demo_race_white,mtq1,mtq2,mtq3,mtq4,mtq5,mtq6,mtq7,mtq8,mtq9,mtq10,grt1,grt2,grt3,grt4,grt5,grt6,grt7,grt8,res1,res2,res3,res4,res5,res6,res7,res8,res9,res10,se1,se2,se3,se4,se5,se6,sms1,sms2,sms3,sms4,sms5,sms6,sms7,sms8,sms9,sms10,sms11,sms12,sms13,sms14,sms15,sms16,sms17,sms18,twc1,twc2,twc3,twc4,twc5,hst_age_first_league,hst_age_regular_hky,hst_age_supervised,hst_age_main_sport,hst_practice_hrs_band,hst_game_hrs_band,hst_hky_8plus_months,hst_multi_sport_level,hst_effort,hst_focus,hst_enjoyment,hst_camps_freq,hst_relocated,cog_refocus_speed,cog_stay_locked_in,sleep_hrs_band,nut_balanced_meals,nut_hydration_freq,nut_post_snack_freq,nut_knowledge_conf,nut_limiting_factors,nut_energy_mornings,cog_game_recognition,cog_puck_decision_conf,cog_decision_effectiveness,cog_pregame_anxiety,coach_comfort_asking,coach_understands_you,weight_abs_impr,weight_rel_impr_pct,weight_impr_per_year,height_abs_impr,height_rel_impr_pct,height_impr_per_year,pro_agility_l_abs_impr,pro_agility_l_rel_impr_pct,pro_agility_l_impr_per_year,pro_agility_r_abs_impr,pro_agility_r_rel_impr_pct,pro_agility_r_impr_per_year,broad_jump_abs_impr,broad_jump_rel_impr_pct,broad_jump_impr_per_year,vertical_jump_abs_impr,vertical_jump_rel_impr_pct,vertical_jump_impr_per_year,dash_10yd_abs_impr,dash_10yd_rel_impr_pct,dash_10yd_impr_per_year,shuttle_100yd_abs_impr,shuttle_100yd_rel_impr_pct,shuttle_100yd_impr_per_year,shuttle_150yd_abs_impr,shuttle_150yd_rel_impr_pct,shuttle_150yd_impr_per_year,shuttle_300yd_abs_impr,shuttle_300yd_rel_impr_pct,shuttle_300yd_impr_per_year,flexed_arm_hang_abs_impr,flexed_arm_hang_rel_impr_pct,flexed_arm_hang_impr_per_year,pull_ups_abs_impr,pull_ups_rel_impr_pct,pull_ups_impr_per_year,ue_watt_abs_impr,ue_watt_rel_impr_pct,ue_watt_impr_per_year,le_watt_abs_impr,le_watt_rel_impr_pct,le_watt_impr_per_year,category_progression,num_tests,ever_promoted_between_tests,target_pro_success
Athlete 13,2002,Under 19 Girls,0,7,,,5.08,5.09,73.5,,,20.67,,,16,,,,23,4,5,0,5,5,0,0,0,0,0,1,5,4,4,3,5,2,4,3,4,4,4,4,4,5,3,4,2,5,4,4,5,4,4,5,5,3,5,5,4,5,4,5,4,4,4,5,6,7,3,7,7,2,7,4,7,7,1,7,4,7,7,7,4,4,5,4,4,8,8,8,8,0,0,1,0,4,4,4,3,0,3,0,2,0,4,4,4,1,3,5,4,5,3,5,3,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,1,0,1
Athlete 38,2003,Under 16 Girls,0,6,,,5.1,5.13,74,,1.95,,35,,8,,,,22,4,5,0,5,5,0,0,0,0,0,1,5,2,4,5,5,4,5,5,4,5,1,2,1,5,2,1,5,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,1,1,6,7,1,7,1,1,7,1,7,7,1,6,1,4,6,7,5,5,4,5,5,8,8,5,10,5,0,1,0,5,4,5,3,0,4,5,2,1,4,4,4,0,4,4,0,4,4,5,5,0,0.00%,0,0,0.00%,0,0.55,12.09%,0.55,0.59,13.00%,0.59,10,13.51%,10,0,0.00%,0,0.14,7.73%,0.14,0,0.00%,0,2.33,7.13%,2.33,0,0.00%,0,10,125.00%,10,0,0.00%,0,0,0.00%,0,0,0.00%,0,1,2,1,1
Athlete 38,2003,Under 19 Girls,0,7,138.2,64,4.55,4.54,84,22.5,1.81,,32.67,,18,,,,22,4,5,0,5,5,0,0,0,0,0,1,5,2,4,5,5,4,5,5,4,5,1,2,1,5,2,1,5,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,1,1,6,7,1,7,1,1,7,1,7,7,1,6,1,4,6,7,5,5,4,5,5,8,8,5,10,5,0,1,0,5,4,5,3,0,4,5,2,1,4,4,4,0,4,4,0,4,4,5,5,0,0.00%,0,0,0.00%,0,0.55,12.09%,0.55,0.59,13.00%,0.59,10,13.51%,10,0,0.00%,0,0.14,7.73%,0.14,0,0.00%,0,2.33,7.13%,2.33,0,0.00%,0,10,125.00%,10,0,0.00%,0,0,0.00%,0,0,0.00%,0,1,2,1,1
Athlete 50,2003,Under 18 Boys,1,7,,,,,,,,,,58,,11,,,22,5,5,0,4,5,0,0,0,0,0,1,5,5,5,4,4,5,4,4,3,5,2,5,3,5,2,2,4,5,3,5,4,4,3,4,4,5,2,5,5,4,4,3,5,4,4,1,6,7,2,7,4,1,5,2,7,7,1,7,2,7,6,7,3,2,2,4,3,10,13,13,15,0,0,1,0,4,4,4,3,0,5,0,2,1,4,4,4,1,3,3,4,4,2,4,2,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,1,0,0
Athlete 51,2003,Under 16 Boys,1,6,,63,4.22,4.19,110,32.5,1.62,,,57,,14,453,,22,5,5,0,4,5,0,0,0,0,0,1,5,5,5,4,4,5,4,4,3,5,2,5,3,5,2,2,4,5,3,5,4,4,3,4,4,5,2,5,5,4,4,3,5,4,4,1,6,7,2,7,4,1,5,2,7,7,1,7,2,7,6,7,3,2,2,4,3,10,13,13,15,0,0,1,0,4,4,4,3,0,5,0,2,1,4,4,4,1,3,3,4,4,2,4,2,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,1,0,0
Athlete 71,2003,Under 16 Boys,1,6,,66.5,4.39,4.41,93,25.5,1.67,,30.33,,28,,,,22,4,5,0,5,5,0,0,0,0,0,1,5,3,1,2,5,3,3,2,3,3,4,1,4,5,3,3,5,5,3,4,5,4,3,5,4,3,5,5,4,4,3,5,5,5,4,2,4,5,2,4,3,3,6,4,2,2,4,1,1,3,3,3,3,4,4,4,3,9,12,15,11,1,0,0,0,5,5,5,3,1,2,5,3,1,5,3,3,0,3,4,0,3,3,3,2,22,13.72%,22,1.75,2.63%,1.75,0.19,4.52%,0.19,0.24,5.76%,0.24,3,3.23%,3,1,3.92%,1,0.07,4.29%,0.07,0,0.00%,0,0.67,2.21%,0.67,0,0.00%,0,4,14.29%,4,0,0.00%,0,0,0.00%,0,0,0.00%,0,1,3,1,0
Athlete 71,2003,Under 18 Boys,1,7,160.4,67.5,4.2,4.17,96,26.5,1.63,,31,,32,,,,22,4,5,0,5,5,0,0,0,0,0,1,5,3,1,2,5,3,3,2,3,3,4,1,4,5,3,3,5,5,3,4,5,4,3,5,4,3,5,5,4,4,3,5,5,5,4,2,4,5,2,4,3,3,6,4,2,2,4,1,1,3,3,3,3,4,4,4,3,9,12,15,11,1,0,0,0,5,5,5,3,1,2,5,3,1,5,3,3,0,3,4,0,3,3,3,2,22,13.72%,22,1.75,2.63%,1.75,0.19,4.52%,0.19,0.24,5.76%,0.24,3,3.23%,3,1,3.92%,1,0.07,4.29%,0.07,0,0.00%,0,0.67,2.21%,0.67,0,0.00%,0,4,14.29%,4,0,0.00%,0,0,0.00%,0,0,0.00%,0,1,3,1,0
Athlete 71,2003,Under 18 Boys,1,7,182.4,68.25,,,,,1.7,,,66.3,,1,251,732,22,4,5,0,5,5,0,0,0,0,0,1,5,3,1,2,5,3,3,2,3,3,4,1,4,5,3,3,5,5,3,4,5,4,3,5,4,3,5,5,4,4,3,5,5,5,4,2,4,5,2,4,3,3,6,4,2,2,4,1,1,3,3,3,3,4,4,4,3,9,12,15,11,1,0,0,0,5,5,5,3,1,2,5,3,1,5,3,3,0,3,4,0,3,3,3,2,22,13.72%,22,1.75,2.63%,1.75,0.19,4.52%,0.19,0.24,5.76%,0.24,3,3.23%,3,1,3.92%,1,0.07,4.29%,0.07,0,0.00%,0,0.67,2.21%,0.67,0,0.00%,0,4,14.29%,4,0,0.00%,0,0,0.00%,0,0,0.00%,0,1,3,1,0
Athlete 35,2003,Under 16 Boys,1,6,,69.5,4.5,4.49,103,25.5,1.75,,,,,12,465,759,22,3,5,1,5,5,0,0,0,0,0,1,5,4,4,4,4,4,4,4,4,4,4,4,4,5,3,3,3,4,4,4,5,4,5,5,5,5,4,5,4,5,5,5,5,5,6,2,6,4,2,6,3,2,6,1,5,6,1,4,2,5,6,6,5,5,5,5,5,7,7,16,10,5,0,0,0,4,4,4,3,1,4,5,3,1,4,4,4,0,4,4,5,5,3,4,4,12.6,7.56%,12.6,2.75,3.96%,2.75,0.22,5.13%,0.22,0.27,6.40%,0.27,4,3.96%,4,1.5,5.88%,1.5,0.06,3.55%,0.06,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,5,71.43%,5,79,19.04%,79,160,22.73%,160,1,3,1,1
Athlete 35,2003,Under 18 Boys,1,7,166.6,72,4.51,4.48,101,26,1.71,,,,,12,494,704,22,3,5,1,5,5,0,0,0,0,0,1,5,4,4,4,4,4,4,4,4,4,4,4,4,5,3,3,3,4,4,4,5,4,5,5,5,5,4,5,4,5,5,5,5,5,6,2,6,4,2,6,3,2,6,1,5,6,1,4,2,5,6,6,5,5,5,5,5,7,7,16,10,5,0,0,0,4,4,4,3,1,4,5,3,1,4,4,4,0,4,4,5,5,3,4,4,12.6,7.56%,12.6,2.75,3.96%,2.75,0.22,5.13%,0.22,0.27,6.40%,0.27,4,3.96%,4,1.5,5.88%,1.5,0.06,3.55%,0.06,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,5,71.43%,5,79,19.04%,79,160,22.73%,160,1,3,1,1
