id,birth_year,last_name,category,gender,weight,height,pro_agility_l,pro_agility_r,broad_jump,vertical_jump,dash_10yd,shuttle_100yd,shuttle_150yd,shuttle_300yd,flexed_arm_hang,pull_ups,ue_watt,le_watt,demo_edu,demo_income,demo_fin_support,demo_sports_access,demo_years_org_sport,demo_race_asian,demo_race_black,demo_race_hispanic,demo_race_native,demo_race_pacific,demo_race_white,mtq1,mtq2,mtq3,mtq4,mtq5,mtq6,mtq7,mtq8,mtq9,mtq10,grt1,grt2,grt3,grt4,grt5,grt6,grt7,grt8,res1,res2,res3,res4,res5,res6,res7,res8,res9,res10,se1,se2,se3,se4,se5,se6,sms1,sms2,sms3,sms4,sms5,sms6,sms7,sms8,sms9,sms10,sms11,sms12,sms13,sms14,sms15,sms16,sms17,sms18,twc1,twc2,twc3,twc4,twc5,hst_age_first_league,hst_age_regular_hky,hst_age_supervised,hst_age_main_sport,hst_practice_hrs_band,hst_game_hrs_band,hst_hky_8plus_months,hst_multi_sport_level,hst_effort,hst_focus,hst_enjoyment,hst_camps_freq,hst_relocated,hst_injury_count_12_16,hst_days_missed_2y,hst_comp_level,hst_age_first_at_level,cog_refocus_speed,cog_stay_locked_in,sleep_hrs_band,nut_balanced_meals,nut_hydration_freq,nut_post_snack_freq,nut_knowledge_conf,nut_limiting_factors,nut_energy_mornings,cog_game_recognition,cog_puck_decision_conf,cog_decision_effectiveness,cog_pregame_anxiety,cop_breathing,cop_self_talk,cop_visualization,cop_talk_teammate_coach,cop_other,coach_comfort_asking,coach_understands_you,target_pro_success,weight_abs_impr,weight_rel_impr_pct,weight_impr_per_year,height_abs_impr,height_rel_impr_pct,height_impr_per_year,pro_agility_l_abs_impr,pro_agility_l_rel_impr_pct,pro_agility_l_impr_per_year,pro_agility_r_abs_impr,pro_agility_r_rel_impr_pct,pro_agility_r_impr_per_year,broad_jump_abs_impr,broad_jump_rel_impr_pct,broad_jump_impr_per_year,vertical_jump_abs_impr,vertical_jump_rel_impr_pct,vertical_jump_impr_per_year,dash_10yd_abs_impr,dash_10yd_rel_impr_pct,dash_10yd_impr_per_year,shuttle_100yd_abs_impr,shuttle_100yd_rel_impr_pct,shuttle_100yd_impr_per_year,shuttle_150yd_abs_impr,shuttle_150yd_rel_impr_pct,shuttle_150yd_impr_per_year,shuttle_300yd_abs_impr,shuttle_300yd_rel_impr_pct,shuttle_300yd_impr_per_year,flexed_arm_hang_abs_impr,flexed_arm_hang_rel_impr_pct,flexed_arm_hang_impr_per_year,pull_ups_abs_impr,pull_ups_rel_impr_pct,pull_ups_impr_per_year,ue_watt_abs_impr,ue_watt_rel_impr_pct,ue_watt_impr_per_year,le_watt_abs_impr,le_watt_rel_impr_pct,le_watt_impr_per_year,cat_progression,num_tests,time_span_years,ever_promoted_between_tests
Athlete_1,2011,Last1,Bantam Major,1,156.5,176.9,5.18,5.49,88.8,20.9,1.73,23.5,27.52,61.64,34.7,11,512,998,5,5,1,5,4,0,0,0,0,0,1,2,5,4,5,1,2,4,1,1,1,4,4,5,2,5,4,5,5,3,3,4,1,2,4,4,4,4,2,5,5,4,4,4,5,7,4,7,2,5,2,1,3,1,1,4,3,5,7,5,1,2,4,5,3,4,2,4,6,8,14,14,3,2,0,0,4,5,3,2,0,2,181,1,12,5,2,1,1,1,4,3,0,3,1,1,5,4,0,0,0,0,1,1,3,1,19.7,12.6,3.28,-0.3,-0.2,-0.06,0.29,5.6,0.049,-0.5,-9.1,-0.083,12.8,14.4,2.14,-8,-38.2,-1.33,-0.279,-16.1,-0.046,-0.95,-4.1,-0.159,-0.42,-1.5,-0.07,-7.31,-11.9,-1.218,-19.8,-57.3,-3.31,1,9,0.16,38,7.4,6.34,29.3,2.9,4.88,4,4,6,1
Athlete_2,2009,Last2,Under 16 Boys,1,102.1,169.1,5.03,5.09,65.4,15.2,1.66,18.39,32.8,52.01,16.4,3,702,517,5,5,1,5,2,0,0,1,0,0,0,4,1,4,1,2,5,3,4,2,4,4,4,3,5,1,2,1,2,2,5,4,1,4,4,2,5,3,3,1,3,1,3,5,1,5,1,5,1,3,2,4,5,2,3,6,5,3,7,3,2,5,7,1,4,2,1,2,4,12,14,9,1,4,0,0,2,3,4,1,0,2,10,4,10,5,3,5,0,5,4,5,0,5,3,3,1,5,0,0,0,1,1,3,4,1,-31,-30.4,-7.75,2.3,1.3,0.57,-0.19,-3.8,-0.047,-0.26,-5,-0.064,8.9,13.6,2.23,0.2,1.2,0.05,0.25,15.1,0.063,0.22,1.2,0.054,0.43,1.3,0.108,-1.44,-2.8,-0.36,1.9,11.6,0.48,0.4,16.6,0.11,37.2,5.3,9.29,-344.4,-66.6,-86.1,-1,4,4,0
Athlete_3,2009,Last3,Under 19 Girls,0,118.7,174.6,5.55,5.19,81.1,16.5,1.83,25.33,31.08,55.87,27.8,8,657,517,2,2,0,2,4,0,1,0,0,0,0,4,5,5,5,4,5,3,1,2,2,3,3,1,2,1,4,2,5,3,1,4,5,3,2,5,5,1,4,4,5,2,5,4,3,4,5,3,2,6,2,4,3,4,5,1,7,3,1,1,1,4,4,3,2,5,3,4,10,11,12,9,1,1,1,2,5,4,4,3,1,4,67,4,18,1,3,4,0,1,2,4,0,1,2,5,1,4,0,1,1,1,0,2,5,0,-8.9,-7.5,-2.22,-0.9,-0.5,-0.23,0.16,2.8,0.039,0.1,1.9,0.024,-13.9,-17.1,-3.47,4,24.1,0.99,0.101,5.5,0.025,-1.6,-6.3,-0.4,0.28,0.9,0.069,-3.03,-5.4,-0.757,5.6,20.3,1.41,-7.4,-95.1,-1.85,-280.9,-42.8,-70.22,161.2,31.2,40.29,-1,4,4,0
Athlete_4,2011,Last4,Peewee Major,1,183.2,147.3,5.41,5.14,69,22,1.88,25.33,38.53,59.93,13.1,11,384,545,3,4,1,4,5,0,0,1,0,0,1,2,4,1,3,1,2,3,4,3,3,1,1,5,5,2,4,5,4,2,4,4,1,2,5,2,5,1,4,4,5,1,5,4,2,3,6,2,4,4,5,3,3,7,1,3,1,2,7,6,7,4,7,5,2,4,1,2,10,7,11,16,3,3,1,2,1,4,2,1,0,2,197,4,12,3,1,4,0,5,4,5,0,4,4,4,3,2,0,0,1,0,1,4,1,0,-6.9,-3.8,-6.91,6.3,4.3,6.35,-0.09,-1.8,-0.095,0.3,5.7,0.295,-22.8,-33.1,-22.84,-2.9,-13.3,-2.94,0.022,1.2,0.022,-0.04,-0.2,-0.043,-2.04,-5.3,-2.04,0.06,0.1,0.056,-10.2,-77.9,-10.22,2.8,24.3,2.78,-31.4,-8.2,-31.4,122.9,22.5,122.87,2,2,1,1
Athlete_5,2008,Last5,Under 18 Boys,0,126.4,160.6,5.16,4.94,74.7,25.4,1.71,19.99,33.51,46.46,25,10,528,582,1,4,1,2,1,1,0,0,0,0,1,4,2,1,5,2,1,3,5,3,5,5,5,4,1,3,2,4,5,3,3,5,3,4,5,1,4,3,1,2,1,2,1,4,5,7,7,1,5,6,6,5,3,1,2,1,1,6,2,7,5,5,6,3,4,5,5,4,5,10,12,12,5,3,0,2,3,5,5,1,1,8,44,3,10,4,4,4,0,4,2,4,1,4,5,5,1,2,1,0,1,1,0,4,4,1,7.2,5.7,1.44,-0.6,-0.4,-0.11,-0.08,-1.5,-0.016,-0.26,-5.3,-0.052,-4.2,-5.6,-0.84,0.5,2.1,0.11,-0.026,-1.5,-0.005,1.12,5.6,0.224,-3.05,-9.1,-0.611,-3.3,-7.1,-0.66,4.7,19,0.95,5.3,52.2,1.07,195.6,37.1,39.11,-170.5,-29.3,-34.1,3,2,5,1
Athlete_6,2010,Last6,Peewee Major,1,163.3,163.3,4.61,4.57,82.1,26.5,1.77,24.4,34.35,65.88,35.8,7,253,517,4,1,1,1,1,0,0,0,0,0,0,5,5,1,1,1,5,2,1,3,5,1,4,1,3,4,2,4,1,1,2,3,3,2,4,5,1,3,4,2,5,5,2,4,4,5,3,5,7,5,2,5,4,1,2,4,4,1,1,3,6,3,5,4,4,2,4,1,5,12,8,8,3,1,1,2,5,3,5,3,0,8,86,5,15,4,5,3,0,1,3,3,1,5,2,5,2,3,1,1,1,1,1,2,5,0,1.2,0.7,0.19,6.1,3.8,1.02,0,0,0,0.28,6.1,0.047,2.5,3,0.41,-6,-22.5,-1,-0.224,-12.7,-0.037,-0.62,-2.6,-0.104,-2.82,-8.2,-0.47,2.08,3.2,0.347,8.9,24.9,1.49,0.3,4.1,0.05,-54.1,-21.4,-9.02,-230.3,-44.5,-38.38,4,3,6,0
Athlete_7,2010,Last7,Under 16 Girls,0,148.5,170.4,4.47,5.41,78.7,15.6,1.91,25.33,38.67,62.4,18.5,5,497,649,1,5,1,4,2,0,1,1,0,0,1,5,4,4,1,4,5,5,2,2,5,4,1,3,3,3,2,5,4,3,2,5,4,2,2,5,3,4,3,1,4,1,5,4,1,5,1,5,3,5,7,3,7,1,4,6,5,7,2,3,3,6,2,5,1,4,4,3,6,12,9,9,2,3,1,1,5,2,1,3,1,6,187,1,18,3,3,1,0,4,3,5,1,5,4,1,3,4,0,0,0,1,0,5,2,0,7.5,5,1.24,-2,-1.2,-0.34,-0.59,-13.2,-0.099,-0.16,-2.9,-0.026,-9.7,-12.3,-1.61,-5.7,-36.6,-0.95,-0.208,-10.9,-0.035,-0.55,-2.2,-0.092,1.88,4.9,0.314,-1.62,-2.6,-0.27,5.5,29.6,0.91,-0.4,-9.4,-0.07,-10,-2,-1.67,49.4,7.6,8.24,3,3,6,1
Athlete_8,2005,Last8,Under 18 Boys,1,123.9,163,5.34,4.62,75.4,25.2,1.9,23.15,30.23,53.17,26,11,555,1079,1,3,2,5,2,0,0,1,0,0,1,2,3,1,1,3,4,3,2,1,5,3,4,5,4,5,2,1,4,2,1,4,2,4,3,1,2,3,5,5,4,4,3,1,3,3,5,1,1,5,6,4,4,2,3,3,3,4,2,2,7,6,7,4,3,1,5,1,9,7,11,9,3,3,1,1,3,5,4,1,1,6,17,1,15,1,4,3,0,2,3,5,0,2,1,3,3,2,0,0,1,0,1,3,4,0,-15.3,-12.4,-3.83,1.8,1.1,0.45,-0.33,-6.2,-0.082,-0.16,-3.4,-0.039,-5.2,-6.9,-1.31,-0.1,-0.2,-0.01,-0.104,-5.5,-0.026,-0.89,-3.8,-0.222,-0.26,-0.9,-0.065,-1.38,-2.6,-0.344,-10.5,-40.2,-2.62,0.7,6.4,0.18,-40.9,-7.4,-10.23,-31.9,-3,-7.98,-1,4,4,1
Athlete_9,2004,Last9,Peewee Major,1,141.3,181.2,5.51,4.7,105.8,23.6,1.79,25.33,32.22,49.8,23.7,8,249,718,4,5,0,3,4,0,0,0,0,0,1,4,2,1,3,1,3,4,5,4,5,3,5,3,1,4,3,5,5,2,2,5,3,2,1,3,1,5,5,2,5,1,1,2,5,5,1,4,1,6,4,1,3,6,7,3,2,7,5,3,1,2,1,5,1,3,2,4,10,9,9,10,5,3,0,0,2,3,3,1,0,8,193,5,12,5,5,4,1,2,4,2,1,3,5,1,4,1,0,1,0,0,0,3,3,0,-3.3,-2.3,-0.54,3.4,1.9,0.57,-0.14,-2.6,-0.024,-0.09,-2,-0.015,11.5,10.8,1.91,2.9,12.4,0.49,-0.085,-4.8,-0.014,-1.35,-5.3,-0.226,0.12,0.4,0.021,5.85,11.7,0.975,11.7,49.2,1.95,-0.7,-8.7,-0.12,-178.1,-71.7,-29.69,204.7,28.5,34.11,1,1,6,0
Athlete_10,2006,Last10,Peewee Minor,0,137.1,169.3,5.52,5.06,80.1,19.7,1.68,24.53,28.27,82.33,30.4,11,725,1055,4,4,1,5,2,0,0,0,0,0,1,5,4,4,4,5,3,1,1,1,4,3,1,2,3,3,1,1,2,4,5,1,5,4,4,1,3,3,2,1,2,1,3,5,3,3,3,2,2,1,2,5,2,1,3,1,2,2,3,5,5,6,5,1,4,2,3,3,7,11,11,14,1,3,0,2,3,4,4,2,0,2,168,2,16,3,4,5,0,5,3,4,0,3,1,3,5,2,0,0,1,1,1,4,2,0,5.4,3.9,1.35,-3.6,-2.1,-0.9,0.66,12,0.166,0.48,9.5,0.12,7.1,8.8,1.76,3.1,15.7,0.77,0.229,13.6,0.057,-0.64,-2.6,-0.16,2.24,7.9,0.56,2.29,2.8,0.572,-5.5,-18.2,-1.38,-5.4,-48.1,-1.36,63.4,8.7,15.85,-200.6,-19,-50.15,0,2,4,0
